patch_idx,rule,D_Patch,D_Global
1_3,EProp,1.1171277629579008,2.5688678544437606
1_4,Oja,2.323285638080712,1.9320580964243517
1_4,RewardHebb,2.0257784645481216,2.869859869981154
1_4,REINFORCE,2.2280580154033807,1.4666803803881645
1_4,EProp,1.9468857181029056,2.8454855309100315
1_5,Oja,3.4152920988354607,2.471106244200954
1_5,RewardHebb,1.2915000863822659,2.5781997523992426
1_5,REINFORCE,3.1401948164240996,2.2055429903815416
1_5,EProp,1.0061300012732455,2.509085458308814
1_6,Oja,3.872538585373419,2.0512828539584445
1_6,RewardHebb,2.0969643122907167,3.55072149535697
1_6,REINFORCE,3.872187264158006,1.4803768576476126
1_6,EProp,1.688547574022933,3.494563319682244
1_7,Oja,3.5554859848784726,1.8086615429483293
1_7,RewardHebb,1.4027519595071474,2.7118594735215997
1_7,REINFORCE,3.898504000062035,1.8855822285738306
1_7,EProp,1.0421539380375056,2.827318982783417
1_8,Oja,3.74702737514867,2.0756565751209437
1_8,RewardHebb,1.6638698210116074,2.6383521575126405
1_8,REINFORCE,3.6974545964116685,1.756390641602846
1_8,EProp,1.1886170299681422,2.5480008407462673
1_9,Oja,3.0605449892304124,1.5227430287965078
1_9,RewardHebb,1.7373316634701277,3.609134182210198
1_9,REINFORCE,3.3746029030450235,0.944257674083283
1_9,EProp,1.5412447927293798,3.8165451518112024
