alpha,beta,gamma,condition,E_trial,Eff_Global,Eff_Local
0.1,100.0,10.0,Real,1082478668.6020997,1.0027362974934914e-09,1.026446188444153e-10
0.1,100.0,10.0,Null_Conn,1132631422.6241643,8.761970487743179e-10,9.253923979416268e-11
0.1,100.0,10.0,Null_Strength,1096597883.396157,9.8472238635106e-10,1.0877705145924648e-10
1.0,0.01,0.0,Real,209846.10318288353,5.172555676784612e-06,5.29486174203761e-07
1.0,0.01,0.0,Null_Conn,209828.86430957745,4.729608164814589e-06,4.995158848211765e-07
1.0,0.01,0.0,Null_Strength,215272.4080700462,5.016176918753197e-06,5.541104197314095e-07
1.0,0.01,1.0,Real,10118263.447825132,1.0727538948425614e-07,1.0981193652331252e-08
1.0,0.01,1.0,Null_Conn,15146280.89787648,6.552158358501632e-08,6.920038755607391e-09
1.0,0.01,1.0,Null_Strength,10000807.861129394,1.0797572552138184e-07,1.192750486247355e-08
1.0,0.01,10.0,Real,99294019.54960537,1.0931581349947148e-08,1.1190060675342481e-09
1.0,0.01,10.0,Null_Conn,149574349.19997862,6.634883020787977e-09,7.0074081135722e-10
1.0,0.01,10.0,Null_Strength,98070626.93866351,1.101088591266735e-08,1.21631408012604e-09
1.0,0.1,0.0,Real,1094827.7137898128,9.914259920516942e-07,1.0148684486735956e-07
1.0,0.1,0.0,Null_Conn,1094695.6417392096,9.065609398751697e-07,9.574611135758117e-08
1.0,0.1,0.0,Null_Strength,1114066.8987772341,9.692815447533623e-07,1.0707138370524048e-07
1.0,0.1,1.0,Real,11003245.058432061,9.864732144977116e-08,1.0097985617499796e-08
1.0,0.1,1.0,Null_Conn,16031147.675306113,6.190500704955923e-08,6.538075310607465e-09
1.0,0.1,1.0,Null_Strength,10899602.35183658,9.90719156303378e-08,1.0943948278276878e-08
1.0,0.1,10.0,Real,100179001.1602123,1.0835011725998859e-08,1.1091207644222553e-09
1.0,0.1,10.0,Null_Conn,150459215.97740826,6.595862562525661e-09,6.96619679530691e-10
1.0,0.1,10.0,Null_Strength,98969421.4293707,1.0910890141719316e-08,1.2052680784580698e-09
1.0,1.0,0.0,Real,9944643.819859104,1.0914826834744615e-07,1.1172909996433324e-08
1.0,1.0,0.0,Null_Conn,9943363.416035531,9.980609863377881e-08,1.0540985623394882e-08
1.0,1.0,0.0,Null_Strength,10102011.805849114,1.0689400342812408e-07,1.1808012768626753e-08
