bin,n_neurons,acc,mi_lb,condition
"(0, 3)",33,0.5833333333333334,0.04697955499225115,Null_Strength
"(0, 0)",29,0.7,0.019606584727684728,Null_Strength
"(1, 1)",229,0.8833333333333333,0.37860683319161614,Null_Strength
"(1, 3)",235,0.7166666666666667,0.10607611388186378,Null_Strength
"(2, 6)",64,0.48333333333333334,0.04813212240074782,Null_Strength
"(2, 1)",246,0.8,0.10699803345499403,Null_Strength
"(1, 0)",150,0.8666666666666667,0.1589131381119464,Null_Strength
"(6, 6)",202,0.48333333333333334,0.07615054839133362,Null_Strength
"(7, 5)",70,0.48333333333333334,0.0534632682162588,Null_Strength
"(3, 5)",215,0.5833333333333334,0.1501057589888446,Null_Strength
"(2, 2)",237,0.7166666666666667,0.21124897801307307,Null_Strength
"(2, 3)",240,0.6666666666666666,0.3240330768958495,Null_Strength
"(3, 1)",272,0.8,0.3703657499459829,Null_Strength
"(4, 6)",216,0.45,0.08077894135825225,Null_Strength
"(4, 7)",86,0.5333333333333333,0.02102328955871413,Null_Strength
"(5, 3)",230,0.6333333333333333,0.08800124878032589,Null_Strength
"(6, 7)",191,0.4666666666666667,0.0665336236564249,Null_Strength
"(7, 6)",80,0.43333333333333335,0.037173507594617794,Null_Strength
"(5, 5)",225,0.5333333333333333,0.13009440416099638,Null_Strength
"(6, 5)",206,0.5166666666666667,0.09010841480222487,Null_Strength
"(5, 6)",203,0.5,0.10417129005491499,Null_Strength
"(5, 2)",132,0.65,0.09040584933276374,Null_Strength
"(4, 3)",230,0.65,0.24795299721697073,Null_Strength
"(3, 4)",217,0.5833333333333334,0.11698719546328351,Null_Strength
"(4, 4)",212,0.6166666666666667,0.17370664783553158,Null_Strength
"(4, 5)",218,0.5333333333333333,0.10079159817402816,Null_Strength
"(6, 3)",99,0.6333333333333333,0.11207412301485276,Null_Strength
"(1, 5)",48,0.5,0.01593755359129445,Null_Strength
"(4, 2)",255,0.6333333333333333,0.193896517813829,Null_Strength
"(3, 3)",224,0.6333333333333333,0.08464484813180295,Null_Strength
"(3, 0)",76,0.8333333333333334,0.08108693729255045,Null_Strength
"(2, 0)",154,0.8166666666666667,0.10751860134169533,Null_Strength
"(3, 2)",255,0.7,0.24938197076598434,Null_Strength
"(1, 2)",235,0.7666666666666667,0.2858864551243754,Null_Strength
"(4, 1)",125,0.7666666666666667,0.06652835686353065,Null_Strength
"(3, 6)",181,0.48333333333333334,0.11704218069812011,Null_Strength
"(5, 4)",220,0.6,0.11554804309438294,Null_Strength
"(1, 4)",155,0.65,0.06611337673006701,Null_Strength
"(6, 4)",193,0.5666666666666667,0.13061118273214123,Null_Strength
"(0, 2)",111,0.6833333333333333,0.0593302905257036,Null_Strength
"(3, 7)",10,0.45,0.0105449433968976,Null_Strength
"(7, 7)",17,0.35,0.007394098133003402,Null_Strength
"(7, 4)",12,0.43333333333333335,0.01036846128924851,Null_Strength
