epoch,J,MI_lb,E_total,E_met,compute_cost,rule,lambda,gamma,seed,energy_ratio
81,-40.590190091287866,0.490726967535263,4108.091705882312,594.614171951598,82,EProp,0.01,0.1,0,0.39405598972040845
82,-40.613149104251015,0.4594069147251725,4107.255601897618,593.063347524225,83,EProp,0.01,0.1,0,0.393975789031917
83,-40.55049782523811,0.5374074493257037,4108.790527456382,594.3511467865433,84,EProp,0.01,0.1,0,0.3941230220183033
84,-40.60389763323824,0.4963747757280421,4110.027240896628,594.2845116674241,85,EProp,0.01,0.1,0,0.39424164992965177
85,-40.56739765859328,0.5480570196112349,4111.545467820451,595.5509993253713,86,EProp,0.01,0.1,0,0.39438728115113364
86,-40.65612016770216,0.4627306028951374,4111.885077059729,595.0339341042098,87,EProp,0.01,0.1,0,0.39441985711693067
87,-40.60190298099137,0.4924374549434409,4109.434043593481,593.3434661696396,88,EProp,0.01,0.1,0,0.3941847493132277
88,-40.620729227465496,0.5355290011356488,4115.625822860115,599.2837760196516,89,EProp,0.01,0.1,0,0.39477867658694216
89,-40.59884057104421,0.496051109044358,4109.489168008857,593.2458627275339,90,EProp,0.01,0.1,0,0.39419003695226157
90,-40.63495664252746,0.484008270543967,4111.896491307143,595.3639210616043,91,EProp,0.01,0.1,0,0.39442095199330723
91,-40.60905726491583,0.5472473808294298,4115.630464574527,599.4615570122627,92,EProp,0.01,0.1,0,0.39477912182903935
92,-40.567118090641486,0.5251791950478024,4109.229728568929,592.9405050442147,93,EProp,0.01,0.1,0,0.3941651510264857
93,-40.53366093934492,0.5514558615370841,4108.511680088201,591.3892648459972,94,EProp,0.01,0.1,0,0.3940962744470423
94,-40.61152410523131,0.5356359437512035,4114.716004898251,596.2661037159206,95,EProp,0.01,0.1,0,0.39469140511320316
95,-40.55587836924456,0.5717691360317678,4112.764750527633,594.4653439660548,96,EProp,0.01,0.1,0,0.39450423707332966
96,-40.566983630646746,0.5820077245713513,4114.8991355218095,595.7735828570386,97,EProp,0.01,0.1,0,0.39470897135180755
97,-40.59066868607148,0.5480853771215086,4113.875406319299,594.1980330634536,98,EProp,0.01,0.1,0,0.39461077329466016
98,-40.623117146221205,0.5443339298477419,4116.745107606895,596.9805236602915,99,EProp,0.01,0.1,0,0.3948860405141008
99,-40.53035160068592,0.5983306055318662,4112.868220621778,593.5862706819967,100,EProp,0.01,0.1,0,0.3945141621220565
100,-40.502345434348335,0.6154679246952357,4111.781335904358,591.3295818313734,101,EProp,0.01,0.1,0,0.3944099060674942
101,-40.62120525449562,0.5263753078843498,4114.758056237997,592.7698390141172,102,EProp,0.01,0.1,0,0.39469543875789487
102,-40.584966451398806,0.5727349472639967,4115.77013986628,594.4533578238336,103,EProp,0.01,0.1,0,0.39479251974935664
103,-40.62692201358158,0.5562814992185601,4118.320351280014,596.9817029624131,104,EProp,0.01,0.1,0,0.3950371408908945
104,-40.56922397626319,0.6057999669824863,4117.502394324568,596.8692702709018,105,EProp,0.01,0.1,0,0.39495868090005115
105,-40.59951002592976,0.5851091332518736,4118.461915918164,597.4663140629792,106,EProp,0.01,0.1,0,0.3950507200409207
106,-40.53748843,0.6140782702108654,4115.156670021086,594.358594160939,107,EProp,0.01,0.1,0,0.39473367455204383
107,-40.59071152684133,0.5472210782341236,4113.793260507546,592.1002918392859,108,EProp,0.01,0.1,0,0.3946028937117615
108,-40.5281130379232,0.6252231135218862,4115.333615144508,593.7556658801143,109,EProp,0.01,0.1,0,0.3947506474656807
109,-40.609880233266246,0.5911346369586932,4120.1014870224935,597.5450020652459,110,EProp,0.01,0.1,0,0.39520799082757535
110,-40.55498614937813,0.6125161813028077,4116.750233068094,594.7266572397452,111,EProp,0.01,0.1,0,0.3948865321581122
111,-40.52002236579246,0.6535899710913768,4117.361233688383,594.8679808243887,112,EProp,0.01,0.1,0,0.3949451405026639
