epoch,J,MI_lb,E_total,E_met,compute_cost,rule,lambda,gamma,seed,energy_ratio
183,-21.69779214978648,0.7207273466994875,2241.8519496485965,338.0707899163107,184,RewardHebb,0.01,0.1,1,0.21462355729582303
184,-21.60749155137057,0.6748157612683343,2228.2307312638904,325.83970797368016,185,RewardHebb,0.01,0.1,1,0.21331953079894078
185,-21.555008714369176,0.7463217496316559,2230.133046400083,328.20908105196264,186,RewardHebb,0.01,0.1,1,0.21350164882046818
186,-21.515736197074464,0.6391412325342962,2215.487742960876,313.5635667922668,187,RewardHebb,0.01,0.1,1,0.21209958160443634
187,-21.62275817489175,0.7286073049107156,2235.136547980246,332.9128472078358,188,RewardHebb,0.01,0.1,1,0.2139806587337848
188,-21.445565896397422,0.7675067597852405,2221.3072656182662,319.67220302857334,189,RewardHebb,0.01,0.1,1,0.21265671324494834
189,-21.493719774456025,0.723775186642813,2221.749496109884,319.2300430466962,190,RewardHebb,0.01,0.1,1,0.2126990501536236
190,-21.464603042415952,0.6861247398348631,2215.072778225081,312.1369554326136,191,RewardHebb,0.01,0.1,1,0.212059854981203
191,-21.659338914741124,0.6966161613938362,2235.595507613496,332.0740337621159,192,RewardHebb,0.01,0.1,1,0.21402459720579617
192,-21.6638471518437,0.749366697718064,2241.321384956176,338.8245302749192,193,RewardHebb,0.01,0.1,1,0.21457276371791498
193,-21.585517358366435,0.701534255456937,2228.7051613823373,327.19437690203006,194,RewardHebb,0.01,0.1,1,0.21336495033689257
194,-21.56706574141081,0.7499605266587821,2231.7026268069594,330.41190292081825,195,RewardHebb,0.01,0.1,1,0.2136519125033302
195,-21.469288974680072,0.7352548782355997,2220.454385291567,319.21322368628,196,RewardHebb,0.01,0.1,1,0.21257506279979183
196,-21.52167501729929,0.7337320847033548,2225.5407102002646,323.57812470115124,197,RewardHebb,0.01,0.1,1,0.21306200179932663
197,-21.63184929397095,0.731103183180668,2236.295247715162,334.0894792305711,198,RewardHebb,0.01,0.1,1,0.21409158678101128
198,-21.496688518122006,0.7253656451853057,2222.205416330731,320.6836725357857,199,RewardHebb,0.01,0.1,1,0.21274269764767717
199,-21.530252185033973,0.7219188466642468,2225.217103169822,323.2173853414275,200,RewardHebb,0.01,0.1,1,0.21303102130034657
0,-104.25146998828453,0.0,10425.146998828452,1515.6535619286665,3,REINFORCE,0.01,0.1,0,1.0
1,-104.1992860648214,0.0,10419.92860648214,1510.436109467095,6,REINFORCE,0.01,0.1,0,0.9994994418450984
2,-104.17419945352223,0.0,10417.419945352223,1507.9447622074697,9,REINFORCE,0.01,0.1,0,0.9992588062808998
3,-104.13972584768337,0.0,10413.972584768337,1504.4993848928766,12,REINFORCE,0.01,0.1,0,0.9989281288732551
4,-104.25362381456576,0.0,10425.362381456576,1515.8932907771273,15,REINFORCE,0.01,0.1,0,1.0000206599128194
5,-104.3383989340612,0.0,10433.83989340612,1524.3711729076415,18,REINFORCE,0.01,0.1,0,1.0008338390411806
6,-104.23242632016522,0.0,10423.24263201652,1513.773921391709,21,REINFORCE,0.01,0.1,0,0.9998173295002798
7,-104.18034037481088,0.0,10418.034037481088,1508.5765287737404,24,REINFORCE,0.01,0.1,0,0.9993177111701002
8,-104.20781269209677,0.0,10420.781269209676,1511.3254289173449,27,REINFORCE,0.01,0.1,0,0.9995812308815151
9,-104.2242305137138,0.0,10422.42305137138,1512.969263413279,30,REINFORCE,0.01,0.1,0,0.9997387137603548
10,-104.22137129870728,0.0,10422.137129870727,1512.684268768637,33,REINFORCE,0.01,0.1,0,0.9997112876242357
11,-104.25683984499236,0.0,10425.683984499236,1516.2341613921258,36,REINFORCE,0.01,0.1,0,1.000051508690558
12,-104.23776337131468,0.0,10423.776337131469,1514.3270953020335,39,REINFORCE,0.01,0.1,0,0.9998685235136601
13,-104.2377534332189,0.0,10423.77534332189,1514.330555690016,42,REINFORCE,0.01,0.1,0,0.9998684281855482
14,-104.15487384411936,0.0,10415.487384411936,1506.046620474197,45,REINFORCE,0.01,0.1,0,0.9990734313465698
15,-104.25965103227314,0.0,10425.965103227314,1516.5288758994664,48,REINFORCE,0.01,0.1,0,1.0000784741355642
16,-104.34163594958557,0.0,10434.163594958554,1524.7303662625552,51,REINFORCE,0.01,0.1,0,1.0008648891119825
17,-104.18855841666053,0.0,10418.855841666053,1509.424504479936,54,REINFORCE,0.01,0.1,0,0.9993965401962096
18,-104.29834542632588,0.0,10429.834542632589,1520.4032476989114,57,REINFORCE,0.01,0.1,0,1.0004496381494346
19,-104.16099204568938,0.0,10416.099204568938,1506.668282601026,60,REINFORCE,0.01,0.1,0,0.9991321183038925
20,-104.23989731466293,0.0,10423.989731466292,1514.55884653607,63,REINFORCE,0.01,0.1,0,0.9998889927055906
21,-104.1955725166414,0.0,10419.55725166414,1510.1305997828274,66,REINFORCE,0.01,0.1,0,0.9994638207821013
22,-104.29060179834111,0.0,10429.060179834112,1519.6336177495923,69,REINFORCE,0.01,0.1,0,1.000375359791675
23,-104.27026124741926,0.0,10427.026124741926,1517.599815814263,72,REINFORCE,0.01,0.1,0,1.0001802493445593
24,-104.1256943774131,0.0,10412.56943774131,1503.1432425277403,75,REINFORCE,0.01,0.1,0,0.9987935363320483
25,-104.2257010327148,0.0,10422.57010327148,1513.1463199052328,78,REINFORCE,0.01,0.1,0,0.9997528192593101
26,-104.24054200621326,0.0,10424.054200621324,1514.6304454311162,81,REINFORCE,0.01,0.1,0,0.9998951767100022
27,-104.14777230449664,0.0,10414.777230449665,1505.353608466754,84,REINFORCE,0.01,0.1,0,0.999005312022943
28,-104.18557077297255,0.0,10418.557077297255,1509.138157510712,87,REINFORCE,0.01,0.1,0,0.999367882147663
29,-104.1998012923691,0.0,10419.98012923691,1510.5680012987764,90,REINFORCE,0.01,0.1,0,0.9995043840060843
30,-104.17269708910452,0.0,10417.269708910451,1507.857604169188,93,REINFORCE,0.01,0.1,0,0.9992443953146286
31,-104.20336309995488,0.0,10420.336309995488,1510.9246368408594,96,REINFORCE,0.01,0.1,0,0.999538549544337
32,-104.26271057281312,0.0,10426.271057281312,1516.8614061254802,99,REINFORCE,0.01,0.1,0,1.000107821832439
33,-104.28476553258312,0.0,10428.476553258311,1519.0677900602643,102,REINFORCE,0.01,0.1,0,1.000319377216478
34,-104.21538813741596,0.0,10421.538813741598,1512.1304157084069,105,REINFORCE,0.01,0.1,0,0.9996538959990435
35,-104.20760790527692,0.0,10420.760790527693,1511.3549587090934,108,REINFORCE,0.01,0.1,0,0.9995792665272488
36,-104.2826383850682,0.0,10428.26383850682,1518.8630178361643,111,REINFORCE,0.01,0.1,0,1.000298973211478
37,-104.31661752786331,0.0,10431.661752786333,1522.2624313322244,114,REINFORCE,0.01,0.1,0,1.000624907635222
38,-104.20006197149748,0.0,10420.006197149747,1510.610009843197,117,REINFORCE,0.01,0.1,0,0.999506884490043
39,-104.23361476442888,0.0,10423.36147644289,1513.965375946852,120,REINFORCE,0.01,0.1,0,0.9998287292845115
40,-104.18655821786706,0.0,10418.655821786706,1509.26771610791,123,REINFORCE,0.01,0.1,0,0.999377353907578
41,-104.13686723971144,0.0,10413.686723971145,1504.3001667370684,126,REINFORCE,0.01,0.1,0,0.9989007085599277
42,-104.23300953384285,0.0,10423.300953384283,1513.9157803600283,129,REINFORCE,0.01,0.1,0,0.9998229237972015
43,-104.22048684541596,0.0,10422.048684541594,1512.6637061428778,132,REINFORCE,0.01,0.1,0,0.9997028037794378
44,-104.2365172169578,0.0,10423.65172169578,1514.2668231267835,135,REINFORCE,0.01,0.1,0,0.9998565701631987
45,-104.15839447815456,0.0,10415.839447815457,1506.455100105281,138,REINFORCE,0.01,0.1,0,0.9991072019402661
46,-104.19653289508103,0.0,10419.653289508104,1510.2704307759564,141,REINFORCE,0.01,0.1,0,0.9994730329154144
47,-104.20992113981823,0.0,10420.992113981823,1511.6092690887592,144,REINFORCE,0.01,0.1,0,0.9996014555145271
48,-104.15918345572726,0.0,10415.918345572723,1506.537387591412,147,REINFORCE,0.01,0.1,0,0.9991147699637458
49,-104.19519898505794,0.0,10419.519898505794,1510.1468472041884,150,REINFORCE,0.01,0.1,0,0.9994602377958517
50,-104.2381858935802,0.0,10423.81858935802,1514.4455401167231,153,REINFORCE,0.01,0.1,0,0.9998725764278833
51,-104.22945686431952,0.0740191871550735,10430.34760514746,1520.977601161689,156,REINFORCE,0.01,0.1,0,1.0004988520852123
52,-104.2299700742196,0.0,10422.99700742196,1513.6364078462234,159,REINFORCE,0.01,0.1,0,0.9997937687203132
53,-104.2413529700471,0.0052341602804668,10424.658713032755,1515.2981520076414,162,REINFORCE,0.01,0.1,0,0.9999531626944204
54,-104.25929901519903,0.0,10425.929901519905,1516.5740285115148,165,REINFORCE,0.01,0.1,0,1.0000750975205952
55,-104.11381732688535,0.163321834892864,10427.71391617782,1518.3590926881689,168,REINFORCE,0.01,0.1,0,1.0002462236119698
56,-103.3371880729475,0.9467878364049492,10428.397590935245,1519.050122390992,171,REINFORCE,0.01,0.1,0,1.0003118029997236
57,-104.23444431318984,0.0,10423.444431318983,1514.097255003701,174,REINFORCE,0.01,0.1,0,0.9998366864745735
58,-104.2971723305431,0.0,10429.71723305431,1520.3700615964894,177,REINFORCE,0.01,0.1,0,1.0004383855907617
59,-103.97176625039098,0.253991608652274,10422.575785904326,1513.230958005734,180,REINFORCE,0.01,0.1,0,0.9997533643482999
60,-104.27114109660177,0.0,10427.114109660177,1517.7713696518963,183,REINFORCE,0.01,0.1,0,1.0001886890258667
61,-103.77904142940083,0.456680184588861,10423.57216139897,1514.2298135862402,186,REINFORCE,0.01,0.1,0,0.9998489385876613
62,-104.28966597460489,0.0,10428.966597460489,1519.6247230903723,189,REINFORCE,0.01,0.1,0,1.0003663831917637
63,-103.59695398461626,0.5964081947233355,10419.33621793396,1509.9945233998528,192,REINFORCE,0.01,0.1,0,0.9994426188047857
64,-103.19222792910016,0.899568499585695,10409.179642868585,1499.837996712936,195,REINFORCE,0.01,0.1,0,0.9984683807373017
65,-104.09593636545804,0.1506637201280374,10424.660008558609,1515.3183625875738,198,REINFORCE,0.01,0.1,0,0.9999532869637332
66,-104.32838914666846,0.0,10432.838914666843,1523.497681434994,201,REINFORCE,0.01,0.1,0,1.000737823249807
67,-104.25239245280773,0.0,10425.239245280773,1515.8991503167551,204,REINFORCE,0.01,0.1,0,1.0000088484557899
68,-104.28620726340208,0.0,10428.620726340208,1519.2839812121333,207,REINFORCE,0.01,0.1,0,1.000333206573696
69,-103.76675997335347,0.4379135977685173,10420.467357112198,1511.1315188574526,210,REINFORCE,0.01,0.1,0,0.999551119833919
70,-104.26732677925754,0.0,10426.732677925756,1517.3979138922014,213,REINFORCE,0.01,0.1,0,1.0001521013658112
71,-104.24165664750863,0.0,10424.165664750864,1514.830966362057,216,REINFORCE,0.01,0.1,0,0.9999058685620742
72,-104.24872128602205,0.0,10424.872128602205,1515.5377355908488,219,REINFORCE,0.01,0.1,0,0.9999736339232168
73,-104.27180352034053,0.0,10427.18035203405,1517.8463305669025,222,REINFORCE,0.01,0.1,0,1.0001950431208142
74,-104.30860419330575,0.0,10430.860419330576,1521.5267524882076,225,REINFORCE,0.01,0.1,0,1.0005480422005337
75,-104.23322477753663,0.0,10423.322477753663,1513.989272245743,228,REINFORCE,0.01,0.1,0,0.9998249884557989
76,-104.1655103452564,0.0,10416.55103452564,1507.218298265874,231,REINFORCE,0.01,0.1,0,0.9991754586958077
77,-104.09079268673848,0.0,10409.079268673848,1499.7570396949077,234,REINFORCE,0.01,0.1,0,0.9984587526529449
78,-102.9758496471256,1.1728195714568912,10414.866921858247,1505.5449176575062,237,REINFORCE,0.01,0.1,0,0.9990139153940601
79,-103.5666807239645,0.6700715265102857,10423.675225047478,1514.3535165139206,240,REINFORCE,0.01,0.1,0,0.9998588246495576
80,-104.23941144279384,0.0,10423.941144279384,1514.628575048187,243,REINFORCE,0.01,0.1,0,0.9998843321298776
81,-103.9414600944003,0.2750943091151239,10421.655440351542,1512.3428765972276,246,REINFORCE,0.01,0.1,0,0.9996650830460901
82,-104.07950832210696,0.1583475815944508,10423.785590370142,1514.4735667943723,249,REINFORCE,0.01,0.1,0,0.9998694111019766
83,-104.21102013867716,0.0,10421.102013867716,1511.793977736071,252,REINFORCE,0.01,0.1,0,0.9996119973213624
84,-103.42056364585436,0.8163003658232468,10423.68640116776,1514.3783650788623,255,REINFORCE,0.01,0.1,0,0.9998598966843484
85,-104.06748216499406,0.2020991094042004,10426.958127439826,1517.6504455131153,258,REINFORCE,0.01,0.1,0,1.0001737269135464
86,-103.96636485647956,0.3274405321719209,10429.380538865147,1520.0733931515451,261,REINFORCE,0.01,0.1,0,1.000406089241444
87,-103.74368052760298,0.3896330503052216,10413.33135779082,1504.0250151625887,264,REINFORCE,0.01,0.1,0,0.998866621157576
88,-103.38266663830022,0.77385499434022,10415.652163264043,1506.3463459238965,267,REINFORCE,0.01,0.1,0,0.9990892372485994
89,-103.78188465943236,0.5364882947517615,10431.837295418412,1522.5337233597202,270,REINFORCE,0.01,0.1,0,1.000641746019573
90,-103.53043627467304,0.6975573586462103,10422.799363331924,1513.4958096012542,273,REINFORCE,0.01,0.1,0,0.9997748103219272
91,-104.17063844400256,0.0837038005070143,10425.434224450955,1516.1306700407135,276,REINFORCE,0.01,0.1,0,1.0000275512299766
92,-103.96855157809578,0.2685855616435426,10423.713713973932,1514.4105516179327,279,REINFORCE,0.01,0.1,0,0.9998625165808519
93,-104.08333063114014,0.0,10408.333063114014,1499.0300846124896,282,REINFORCE,0.01,0.1,0,0.9983871751912633
94,-103.24802906055758,0.9082279671594176,10415.6257027717,1506.3294846992949,285,REINFORCE,0.01,0.1,0,0.9990866991076652
95,-103.55292550475396,0.7211955830008892,10427.412108775488,1518.1160107111957,288,REINFORCE,0.01,0.1,0,1.000217273669838
96,-103.91413304693124,0.3065786219352251,10422.071166886646,1512.7826512161005,291,REINFORCE,0.01,0.1,0,0.9997049603288902
97,-104.25173942838336,0.0,10425.173942838335,1515.8855964049849,294,REINFORCE,0.01,0.1,0,1.0000025845208598
98,-104.08525922494906,0.2031037263346169,10428.836295128369,1519.5483286544857,297,REINFORCE,0.01,0.1,0,1.0003538843433413
99,-104.26600344186724,0.0326597104185273,10429.866315228575,1520.5786432168427,300,REINFORCE,0.01,0.1,0,1.0004526858374903
100,-104.24457881403396,0.0,10424.457881403398,1515.1715082297835,303,REINFORCE,0.01,0.1,0,0.9999338985411782
101,-104.23307926975691,0.0,10423.30792697569,1514.024424207476,306,REINFORCE,0.01,0.1,0,0.9998235927174007
102,-103.37941276360372,0.8360349990757188,10421.544776267943,1512.268959134134,309,REINFORCE,0.01,0.1,0,0.999654467935952
103,-103.08808840163287,1.2379696304834722,10432.605803211636,1523.3299828532504,312,REINFORCE,0.01,0.1,0,1.0007154627540527
104,-102.7270716626175,1.6299518882890922,10435.70235509066,1526.4278906614222,315,REINFORCE,0.01,0.1,0,1.0010124899210913
105,-102.86315803860116,1.3004929172446786,10416.365095584584,1507.091479122786,318,REINFORCE,0.01,0.1,0,0.999157623077655
106,-103.48834843910056,0.6508332493429658,10413.918168844351,1504.6450504053207,321,REINFORCE,0.01,0.1,0,0.9989229091939555
107,-104.19642220052782,0.0,10419.64222005278,1510.369118171457,324,REINFORCE,0.01,0.1,0,0.99947197111213
108,-104.1793000347972,0.0,10417.93000347972,1508.6569966057805,327,REINFORCE,0.01,0.1,0,0.9993077320301054
109,-103.35736255685272,0.8608350420431714,10421.81975988959,1512.5471807363265,330,REINFORCE,0.01,0.1,0,0.9996808448898384
110,-104.2505041201828,0.0,10425.05041201828,1515.780127300853,333,REINFORCE,0.01,0.1,0,0.9999907352088001
111,-104.26514378171277,0.0,10426.514378171276,1517.2521399293196,336,REINFORCE,0.01,0.1,0,1.0001311616366635
112,-104.2567174502443,0.0,10425.671745024429,1516.411502983709,339,REINFORCE,0.01,0.1,0,1.0000503346567713
113,-103.21670899023454,1.0226918729644074,10423.940086319892,1514.6798368528123,342,REINFORCE,0.01,0.1,0,0.9998842306483836
114,-104.20260277198749,0.0,10420.260277198748,1511.0029054298882,345,REINFORCE,0.01,0.1,0,0.9995312563333396
115,-103.52412480784642,0.6907338583694198,10421.485866621582,1512.231777551331,348,REINFORCE,0.01,0.1,0,0.9996488172102244
116,-104.24193926282425,0.0,10424.193926282423,1514.9404189173986,351,REINFORCE,0.01,0.1,0,0.999908579462128
117,-104.06356835568036,0.0859969204984323,10414.95652761788,1505.7100314738927,354,REINFORCE,0.01,0.1,0,0.9990225105495667
118,-104.22713123074314,0.0,10422.713123074314,1513.4668839874632,357,REINFORCE,0.01,0.1,0,0.9997665379917989
119,-103.73656960281032,0.4730325363648786,10420.960213917522,1511.7144006962276,360,REINFORCE,0.01,0.1,0,0.9995983955994673
120,-103.09008317264453,1.1606534821098091,10425.073665475433,1515.8278761334532,363,REINFORCE,0.01,0.1,0,0.9999929657247972
121,-103.03734676818512,1.082394040646351,10411.974080883148,1502.72830260363,366,REINFORCE,0.01,0.1,0,0.9987364285657763
122,-102.81708781082592,1.5031966601515414,10432.028447097746,1522.7832688296853,369,REINFORCE,0.01,0.1,0,1.0006600816535314
123,-102.60701889278378,1.5942159891778909,10420.123488196168,1510.879945743797,372,REINFORCE,0.01,0.1,0,0.9995181352711048
124,-102.8185574902187,1.4414646840350214,10426.002217425372,1516.7587503255545,375,REINFORCE,0.01,0.1,0,1.0000820342002867
125,-103.4493061977774,0.778502017202948,10422.780821498036,1513.538167554437,378,REINFORCE,0.01,0.1,0,0.9997730317538274
126,-103.47701986931165,0.6623856271046158,10413.940549641624,1504.698039646319,381,REINFORCE,0.01,0.1,0,0.9989250560027512
127,-102.56651816499242,1.5582427528994844,10412.47609178919,1503.234427476318,384,REINFORCE,0.01,0.1,0,0.9987845824101392
128,-103.35505620651072,0.8975359414395605,10425.259214795027,1516.018698376712,387,REINFORCE,0.01,0.1,0,1.0000107639697156
129,-103.75741090350397,0.5179968570653539,10427.540776056932,1518.3002983487522,390,REINFORCE,0.01,0.1,0,1.0002296156810786
130,-103.61253820853776,0.5461231887336018,10415.866139727135,1506.6292913296627,393,REINFORCE,0.01,0.1,0,0.9991097622793847
131,-103.04841975070256,1.0933112141458183,10414.173096484836,1504.9366129078085,396,REINFORCE,0.01,0.1,0,0.9989473623398453
132,-102.90664089822675,1.374594801680189,10428.123569990694,1518.897198467324,399,REINFORCE,0.01,0.1,0,1.0002855183876618
133,-102.98823937493842,1.2563983281076516,10424.463770304606,1515.237386399011,402,REINFORCE,0.01,0.1,0,0.9999344634158231
134,-102.95600581450728,1.2876957255562442,10424.370154006352,1515.1488778740677,405,REINFORCE,0.01,0.1,0,0.9999254835617966
135,-103.43003126658084,0.8070690789289334,10423.71003455098,1514.491276771489,408,REINFORCE,0.01,0.1,0,0.999862163643579
136,-103.02459083225948,1.175570490632234,10420.016132289173,1510.7978419387368,411,REINFORCE,0.01,0.1,0,0.9995078374875812
137,-103.29579975096648,0.9435025179003124,10423.930226886678,1514.7134981353918,414,REINFORCE,0.01,0.1,0,0.9998832849127297
138,-103.20425259437548,1.036573083904715,10424.08256782802,1514.8665684743623,417,REINFORCE,0.01,0.1,0,0.9998978977466167
139,-102.49304274491988,1.7512383859144958,10424.428113083435,1515.214832469161,420,REINFORCE,0.01,0.1,0,0.9999310431071047
140,-103.26426713770871,0.9948029780300662,10425.90701157388,1516.699594618574,423,REINFORCE,0.01,0.1,0,1.0000729018732795
141,-102.70479741254796,1.5050494658065254,10420.984687835447,1511.7835933926258,426,REINFORCE,0.01,0.1,0,0.9996007431843914
142,-102.58985025687642,1.553146022856426,10414.299627973283,1505.0985442940928,429,REINFORCE,0.01,0.1,0,0.9989594994817448
143,-103.20985019412969,1.0672852724066777,10427.713546653637,1518.5126853321494,432,REINFORCE,0.01,0.1,0,1.0002461881665048
144,-102.85624467189275,1.304352946301786,10416.059761819455,1506.8598951693966,435,REINFORCE,0.01,0.1,0,0.9991283348800725
145,-102.9890264925614,1.2327341777547245,10422.17606703161,1512.9762498854454,438,REINFORCE,0.01,0.1,0,0.9997150225510322
146,-103.29709861056028,0.8977943682927978,10419.489297885306,1510.2907620651183,441,REINFORCE,0.01,0.1,0,0.999457302525923
147,-102.62964916489346,1.5375241332941378,10416.71732981876,1507.5205841105594,444,REINFORCE,0.01,0.1,0,0.9991914100577538
148,-102.53224912339633,1.7339570723979905,10426.620619579431,1517.4240118425412,447,REINFORCE,0.01,0.1,0,1.0001413525153309
149,-103.04109214843965,1.1324640622824915,10417.355621072213,1508.1590119553707,450,REINFORCE,0.01,0.1,0,0.9992526361731768
150,-102.59986231673356,1.6836278039124686,10428.349012064602,1519.155195003145,453,REINFORCE,0.01,0.1,0,1.0003071432217225
151,-102.1212200510295,2.0600694475241763,10418.128949855369,1508.9353463178904,456,REINFORCE,0.01,0.1,0,0.9993268153462131
152,-102.66987073606894,1.5775665939069563,10424.74373299759,1515.550106978536,459,REINFORCE,0.01,0.1,0,0.9999613179717363
153,-103.47901286454166,0.7805279207327587,10425.95407852744,1516.760726758284,462,REINFORCE,0.01,0.1,0,1.000077416625308
154,-102.7847631370354,1.380066272278472,10416.482940931386,1507.2969865473378,465,REINFORCE,0.01,0.1,0,0.9991689270282674
155,-103.44413108672153,0.7264839608308327,10417.061504755236,1507.8758704253626,468,REINFORCE,0.01,0.1,0,0.9992244239746333
156,-103.73811595483843,0.4553951021519502,10419.35110569904,1510.1676629107064,471,REINFORCE,0.01,0.1,0,0.9994440468676303
157,-102.75186180069043,1.506039420262732,10425.79012209532,1516.6069412716947,474,REINFORCE,0.01,0.1,0,1.0000616896113734
158,-102.50966667171484,1.6446060002525158,10415.427267196734,1506.2483915824157,477,REINFORCE,0.01,0.1,0,0.9990676647885339
159,-102.34210847186914,1.99626323104098,10433.837170291012,1524.6603741936387,480,REINFORCE,0.01,0.1,0,1.0008335778347812
160,-102.4620700005565,1.680617296064946,10414.268729662144,1505.0922283731109,483,REINFORCE,0.01,0.1,0,0.9989565356567606
161,-103.07487013811128,1.1285263308831874,10420.339646899449,1511.16396219691,486,REINFORCE,0.01,0.1,0,0.9995388696265345
162,-102.46505207843344,1.844734238461676,10430.978631689512,1521.8101569718851,489,REINFORCE,0.01,0.1,0,1.0005593813556504
163,-102.57094341508612,1.6169234641199557,10418.786687920609,1509.618695132099,492,REINFORCE,0.01,0.1,0,0.9993899068369436
164,-102.49909616271472,1.6541251947460465,10415.322135746075,1506.1547743337571,495,REINFORCE,0.01,0.1,0,0.9990575803791083
165,-103.04691257830888,1.2106001623747025,10425.75127406836,1516.5853780772522,498,REINFORCE,0.01,0.1,0,1.000057963234473
166,-102.69431267167109,1.4811789677266185,10417.54916393977,1508.3839473643682,501,REINFORCE,0.01,0.1,0,0.999271201174474
167,-102.91090117887089,1.3179154499105137,10422.88166287814,1513.716442778561,504,REINFORCE,0.01,0.1,0,0.9997827046514964
168,-103.24735688142866,1.119165911144007,10436.652279257269,1527.487866649145,507,REINFORCE,0.01,0.1,0,1.0011036084603997
169,-102.61643528284966,1.608750429678011,10422.518571252767,1513.3562640425075,510,REINFORCE,0.01,0.1,0,0.9997478762097091
170,-102.85546768743978,1.3688051783339803,10422.427286577376,1513.2660267842589,513,REINFORCE,0.01,0.1,0,0.9997391200093984
171,-102.27124401094792,2.01817957396419,10428.942358491213,1519.7853405883827,516,REINFORCE,0.01,0.1,0,1.0003640581435627
172,-102.67825387965009,1.4914238880983175,10416.96777677484,1507.8170573330112,519,REINFORCE,0.01,0.1,0,0.9992154334078425
173,-103.0206327757204,1.235823742764218,10425.645651848465,1516.4985447000113,522,REINFORCE,0.01,0.1,0,1.0000478317495254
174,-102.6295991402803,1.612160741249978,10424.175988153029,1515.0322872641466,525,REINFORCE,0.01,0.1,0,0.9999068588025155
175,-102.52954314791124,1.8063899288329923,10433.593307674422,1524.4496380823043,528,REINFORCE,0.01,0.1,0,1.0008101860671048
176,-102.53570200727684,1.6623734274129434,10419.807543468978,1510.6651010271253,531,REINFORCE,0.01,0.1,0,0.9994878292497867
177,-102.4689664777197,1.7741206110347223,10424.308708875442,1515.1663743395154,534,REINFORCE,0.01,0.1,0,0.9999195896275511
178,-103.384490790483,0.8776907274831158,10426.218151796613,1517.0778482532733,537,REINFORCE,0.01,0.1,0,1.000102747037359
179,-103.76150091861965,0.4704285022563859,10423.192942087602,1514.0541677195024,540,REINFORCE,0.01,0.1,0,0.9998125631474483
180,-104.26658960469922,0.0,10426.658960469922,1517.521463869953,543,REINFORCE,0.01,0.1,0,1.0001450302467332
181,-103.91240244961662,0.3139665452871103,10422.636899490371,1513.5010425251971,546,REINFORCE,0.01,0.1,0,0.999759226480129
182,-102.69588636462775,1.5884228083826164,10428.430917301035,1519.2951312705331,549,REINFORCE,0.01,0.1,0,1.0003149997283447
183,-103.80187934818404,0.4160741800188261,10421.795352820283,1512.6615533178517,552,REINFORCE,0.01,0.1,0,0.9996785037171615
184,-103.66687462411608,0.700062602910648,10436.693722702674,1527.5604804553443,555,REINFORCE,0.01,0.1,0,1.0011075837947916
185,-103.2141510692024,1.0476026419289228,10426.175371113131,1517.0443211196782,558,REINFORCE,0.01,0.1,0,1.0000986434325383
186,-103.17222615106654,1.0404699757184908,10421.269612678503,1512.1386472488591,561,REINFORCE,0.01,0.1,0,0.9996280737192115
187,-102.47567062084988,1.7092897550605626,10418.496037591043,1509.3661062646092,564,REINFORCE,0.01,0.1,0,0.9993620271025285
188,-104.11835746770264,0.2148758188342117,10433.323328653683,1524.1936783440476,567,REINFORCE,0.01,0.1,0,1.0007842891640906
189,-104.32889491433932,0.0,10432.88949143393,1523.7660556311157,570,REINFORCE,0.01,0.1,0,1.0007426746698487
190,-103.1341232962348,1.0162163017060406,10415.033959794084,1505.910801977665,573,REINFORCE,0.01,0.1,0,0.9990299379917132
191,-102.7450827743084,1.465894782921752,10421.097755723016,1511.976115000355,576,REINFORCE,0.01,0.1,0,0.9996115888719947
192,-103.1381584739939,1.0521359509534718,10419.029442494735,1509.912017316171,579,REINFORCE,0.01,0.1,0,0.999413192319072
193,-102.98054584047482,1.342577293612444,10432.312313408727,1523.1948820346845,582,REINFORCE,0.01,0.1,0,1.0006873106519343
194,-102.136619777187,2.012786121508726,10414.940589869571,1505.8265229331178,585,REINFORCE,0.01,0.1,0,0.9990209817703264
195,-102.67862904145645,1.561262337686547,10423.989137914295,1514.875340287152,588,REINFORCE,0.01,0.1,0,0.9998889357709502
196,-102.63879951403266,1.6417075343360912,10428.050704836876,1518.937815942773,591,REINFORCE,0.01,0.1,0,1.00027852902302
197,-103.29026353924314,1.0246760059273514,10431.49395451705,1522.3813267169724,594,REINFORCE,0.01,0.1,0,1.0006088121049335
198,-102.47902510068236,1.6538175856382908,10413.284268632066,1504.171885634356,597,REINFORCE,0.01,0.1,0,0.998862104275583
199,-103.06938754713676,1.2105740664186913,10427.996161355546,1518.8838783233628,600,REINFORCE,0.01,0.1,0,1.0002732971081765
0,-104.45506838416225,0.0,10445.506838416222,1536.0135653290145,3,REINFORCE,0.01,0.1,1,1.0
1,-104.27340841525071,0.0,10427.34084152507,1517.8483994336234,6,REINFORCE,0.01,0.1,1,0.9982608793261863
2,-104.18590975437928,0.0,10418.590975437926,1509.1015141677372,9,REINFORCE,0.01,0.1,1,0.9974232113965685
3,-104.11151904519328,0.0,10411.151904519327,1501.6684989436994,12,REINFORCE,0.01,0.1,1,0.9967110323674726
4,-104.25781215389888,0.0,10425.781215389889,1516.2981121091066,15,REINFORCE,0.01,0.1,1,0.9981115686072994
5,-104.2437422679527,0.0,10424.37422679527,1514.8937431444256,18,REINFORCE,0.01,0.1,1,0.9979768706346319
