epoch,rule,seed,J,MI_lb,E_total,total_forwards,patch_idx
51,EProp,42,-13.250706736625016,0.3283634612145443,1357.907019783956,52,0
52,EProp,42,-13.190813908535443,0.3116651280599103,1350.2479036595353,53,0
53,EProp,42,-13.230595719112145,0.36968347739459473,1360.027919650674,54,0
54,EProp,42,-13.235998182528537,0.4077988323331114,1364.3797014861648,55,0
55,EProp,42,-13.238232541809587,0.40039487115723915,1363.8627412966825,56,0
56,EProp,42,-13.212325328172067,0.4057910421932842,1361.811637036535,57,0
57,EProp,42,-13.214288595339738,0.37299459942932334,1358.728319476906,58,0
58,EProp,42,-13.25608200354998,0.4236089130458307,1367.969091659581,59,0
59,EProp,42,-13.203144368578526,0.38851020938586345,1359.165457796439,60,0
60,EProp,42,-13.269070707119862,0.4151166052271398,1368.4187312347003,61,0
61,EProp,42,-13.242651677254958,0.4117419011644854,1365.4393578419442,62,0
62,EProp,42,-13.213033807635474,0.43840697750517377,1365.1440785140649,63,0
63,EProp,42,-13.194168013769294,0.40464069799315716,1359.8808711762451,64,0
64,EProp,42,-13.231566809993014,0.48196059655732837,1371.3527406550343,65,0
65,EProp,42,-13.25757905791886,0.47018342083242093,1372.776247875128,66,0
66,EProp,42,-13.217181030358873,0.45525921553228077,1367.2440245891153,67,0
67,EProp,42,-13.257718446471598,0.5090369738615745,1376.6755420333172,68,0
68,EProp,42,-13.191106926324618,0.5107944593720628,1370.190138569668,69,0
69,EProp,42,-13.229072262953396,0.5091340317076658,1373.820629466106,70,0
70,EProp,42,-13.261534448558166,0.5030716338014996,1376.4606082359664,71,0
71,EProp,42,-13.168964040556023,0.4882088214256113,1365.7172861981635,72,0
72,EProp,42,-13.21382325578412,0.5682142735431546,1378.2037529327276,73,0
73,EProp,42,-13.19360756770566,0.45775696533628674,1365.1364533041947,74,0
74,EProp,42,-13.217969392169552,0.5005880748484071,1371.8557467017959,75,0
75,EProp,42,-13.180033083946505,0.48713863519465583,1366.717171914116,76,0
76,EProp,42,-13.250255982815808,0.5894054718450095,1383.9661454660818,77,0
77,EProp,42,-13.17256444592684,0.4347131304494223,1360.7277576376262,78,0
78,EProp,42,-13.190910876232754,0.47953582356385516,1367.044669979661,79,0
79,EProp,42,-13.200898388801953,0.5079379395913621,1370.8836328393315,80,0
80,EProp,42,-13.225033974003157,0.5131999439490684,1373.8233917952225,81,0
81,EProp,42,-13.211561729476816,0.5347195535085381,1374.6281282985353,82,0
