rule,seed,epoch,J,MI_lb,E_total,compute_cost
Oja,0,102,-104.31160764557747,0.8574627593774262,10516.90704049549,103
Oja,0,103,-104.99700657775058,0.17158919182143695,10516.859576957202,104
Oja,0,104,-105.21274703445077,0.0,10521.274703445077,105
Oja,0,105,-103.95810313742315,1.237950188588457,10519.60533260116,106
Oja,0,106,-104.73037300601861,0.5393212045663627,10526.969421058497,107
Oja,0,107,-105.02817672576568,0.24441143682371536,10527.258816258938,108
Oja,0,108,-105.30373066831324,0.0,10530.373066831324,109
Oja,0,109,-105.18667318112782,0.0,10518.66731811278,110
Oja,0,110,-105.24473888166665,0.07296843075716097,10531.77073124238,111
Oja,0,111,-103.77417409170477,1.6009513438467886,10537.512543555154,112
Oja,0,112,-103.79039772221073,1.4392258991783056,10522.962362138904,113
Oja,0,113,-104.7535054294943,0.6152132528630627,10536.871868235736,114
Oja,0,114,-105.21886800130619,0.0,10521.886800130618,115
Oja,0,115,-105.24662748561525,0.037155935102645365,10528.37834207179,116
Oja,0,116,-104.08501073548517,1.234579678911932,10531.95904143971,117
Oja,0,117,-103.67943794593552,1.728041625348542,10540.747957128406,118
Oja,0,118,-104.70391703250161,0.6847391253460073,10538.865615784762,119
Oja,0,119,-105.01341377219396,0.4309578259346374,10544.43715981286,120
Oja,0,120,-104.9488058789235,0.5559192503777695,10550.472512930126,121
Oja,0,121,-103.61237064578124,1.837455860258836,10544.982650604008,122
Oja,0,122,-104.56067023430299,0.8063996089752732,10536.706984327826,123
Oja,0,123,-104.73147185253877,0.7691941257237431,10550.066597826251,124
Oja,0,124,-105.27824056066608,0.19238245127774967,10547.062301194383,125
Oja,0,125,-104.98366470746662,0.4247901977356565,10540.845490520227,126
Oja,0,126,-104.71126629777386,0.8316627510772916,10554.292904885115,127
Oja,0,127,-104.31554393956239,1.202280328660919,10551.78242682233,128
Oja,0,128,-104.67006226477237,0.7777579275436359,10544.7820192316,129
Oja,0,129,-105.54271966493468,0.0,10554.271966493468,130
Oja,0,130,-105.62005009660632,0.0,10562.005009660632,131
Oja,0,131,-104.66071917167949,0.8424599315441803,10550.317910322367,132
Oja,0,132,-105.13623670411037,0.43468891775127094,10557.092562186164,133
Oja,0,133,-105.56320565898196,0.0,10556.320565898195,134
Oja,0,134,-104.04242852336517,1.5008979086453627,10554.332643201053,135
Oja,0,135,-104.80353035836633,0.7986434916627507,10560.217385002907,136
Oja,0,136,-103.83676107109083,1.8062631120596797,10564.302418315052,137
Oja,0,137,-104.62858458044111,0.9736617940463508,10560.224637448746,138
Oja,0,138,-104.07938573231014,1.4887134490288902,10556.809918133904,139
Oja,0,139,-104.20053667027834,1.353954778270794,10555.449144854912,140
Oja,0,140,-103.6686178624313,1.924104458180682,10559.272232061197,141
Oja,0,141,-104.15573780568909,1.508071436119153,10566.380924180823,142
Oja,0,142,-103.99570949780255,1.580849906423078,10557.655940422563,143
Oja,0,143,-104.96536969069973,0.847957785666912,10581.332747636663,144
Oja,0,144,-103.98527686893377,1.659383952542346,10564.46608214761,145
Oja,0,145,-104.1446636238433,1.6299360555150568,10577.459967935836,146
Oja,0,146,-103.84772678846986,1.8949382515805593,10574.266504005041,147
Oja,0,147,-104.10708445566357,1.573907023178141,10568.09914788417,148
Oja,0,148,-103.83347126033355,1.8669934618961896,10570.046472222974,149
Oja,0,149,-104.9347970813453,0.7811141864165299,10571.591126776182,150
Oja,0,150,-104.7186799672917,1.0017212925364278,10572.040125982814,151
Oja,0,151,-104.76290786712192,1.0251981083709438,10578.810597549287,152
Oja,0,152,-104.68728190307378,1.0523103133840293,10573.95922164578,153
Oja,0,153,-103.93012722449419,1.8780604096180147,10580.81876341122,154
Oja,0,154,-104.73672756518766,1.0831697270514828,10581.989729223915,155
Oja,0,155,-104.5515258271041,1.2788840022946548,10583.040982939876,156
Oja,0,156,-104.28927987439224,1.4429323764158157,10573.221225080804,157
Oja,0,157,-103.75903057024216,1.9843814251210548,10574.341199536322,158
Oja,0,158,-104.3864542110932,1.4110400727972516,10579.749428389045,159
Oja,0,159,-104.26748165088675,1.620604826184863,10588.808647707161,160
Oja,0,160,-104.24531205277621,1.5697020489313873,10581.50141017076,161
Oja,0,161,-104.50530233646768,1.4037776325330276,10590.90799690007,162
Oja,0,162,-104.68724870858281,1.2297832484885607,10591.703195707138,163
Oja,0,163,-104.92625484028672,0.8707176413815652,10579.697248166827,164
Oja,0,164,-105.47674641447865,0.556293356382481,10603.303977086114,165
Oja,0,165,-105.2380179416476,0.6935057917401677,10593.152373338777,166
Oja,0,166,-104.81740448479758,1.0329320292460147,10585.03365140436,167
Oja,0,167,-104.47703763296535,1.5939844586039404,10607.102209156928,168
Oja,0,168,-104.26739734812494,1.6920922093905304,10595.948955751548,169
Oja,0,169,-104.75912048750554,1.2438326860677202,10600.295317357326,170
Oja,0,170,-104.52883438852335,1.4479589017590957,10597.679329028244,171
Oja,0,171,-104.79835011604892,1.1954962001094618,10599.384631615838,172
Oja,0,172,-104.79192273526648,1.3096340441210494,10610.155677938754,173
Oja,0,173,-104.72171019019503,1.3174444471634938,10603.915463735852,174
Oja,0,174,-106.00766250454315,0.023401265215883704,10603.106376975902,175
Oja,0,175,-104.57525753980332,1.5269183877103973,10610.21759275137,176
Oja,0,176,-104.6101327560466,1.4318337967714587,10604.196655281805,177
Oja,0,177,-104.97224463392705,1.116772815171199,10608.901744909825,178
Oja,0,178,-104.32862303851664,1.8260593176925477,10615.46823562092,179
Oja,0,179,-104.64182977917274,1.3743728822222643,10601.6202661395,180
Oja,0,180,-105.07904294124971,1.0635420777557347,10614.258501900546,181
Oja,0,181,-104.55360171089715,1.569561402847985,10612.316311374514,182
Oja,0,182,-104.41975944341041,1.6692055680904403,10608.896501150084,183
Oja,0,183,-104.28636366815056,1.9198484029831624,10620.621207113372,184
Oja,0,184,-104.08787250137436,2.146943763110357,10623.481626448473,185
Oja,0,185,-104.27119128713501,1.9501273766176332,10622.131866375265,186
Oja,0,186,-104.0051443114154,2.073383798438025,10607.852810985343,187
Oja,0,187,-104.57212493742298,1.5651657250514397,10613.729066247442,188
Oja,0,188,-105.15849784615222,1.019571817770475,10617.806966392269,189
Oja,0,189,-104.73624798183695,1.508384640036975,10624.463262187393,190
Oja,0,190,-105.213087052355,1.0766973374705433,10628.978438982555,191
Oja,0,191,-105.004680334792,1.3353478696262977,10634.00282044183,192
Oja,0,192,-104.67785455953407,1.5754228851019603,10625.327744463602,193
Oja,0,193,-104.60982836377553,1.6071690684579663,10621.69974322335,194
Oja,0,194,-104.521325620318,1.8038815405959205,10632.520716091392,195
Oja,0,195,-104.24061934532517,2.1594518127912226,10640.007115811639,196
Oja,0,196,-104.02546805981709,2.231235577679824,10625.67036374969,197
Oja,0,197,-104.45407132354045,1.8516606118027052,10630.573193534314,198
Oja,0,198,-104.86411721792443,1.4362366938561921,10630.035391178062,199
Oja,0,199,-104.33149645736225,1.9976273477675992,10632.912380512986,200
Oja,1,0,-104.45507370649788,0.0,10445.507370649788,1
Oja,1,1,-104.30189655732622,0.0,10430.189655732622,2
Oja,1,2,-104.09208457124761,0.0,10409.208457124761,3
Oja,1,3,-104.19004861801045,0.0,10419.004861801044,4
Oja,1,4,-104.19587612677157,0.0,10419.587612677156,5
Oja,1,5,-104.22188868313441,0.0,10422.18886831344,6
Oja,1,6,-104.14315003903612,0.0,10414.315003903612,7
Oja,1,7,-104.28477978807929,0.0,10428.477978807929,8
Oja,1,8,-104.48359038826551,0.0,10448.359038826551,9
Oja,1,9,-104.37185159253582,0.0,10437.185159253582,10
Oja,1,10,-104.26125190233142,0.0,10426.125190233142,11
Oja,1,11,-104.28888524328568,0.0,10428.888524328568,12
Oja,1,12,-104.30646074033346,0.0,10430.646074033346,13
Oja,1,13,-104.382725007717,0.0,10438.2725007717,14
Oja,1,14,-104.50764637387569,0.0,10450.764637387569,15
Oja,1,15,-104.29804804442469,0.0,10429.804804442469,16
Oja,1,16,-104.45758245288202,0.0,10445.758245288202,17
Oja,1,17,-104.22244598100079,0.0,10422.244598100078,18
Oja,1,18,-104.1609652318661,0.0,10416.09652318661,19
Oja,1,19,-104.34631344165314,0.0,10434.631344165313,20
Oja,1,20,-104.4908067578808,0.0,10449.08067578808,21
Oja,1,21,-104.33306713982587,0.0,10433.306713982587,22
Oja,1,22,-104.48356730959193,0.0,10448.356730959193,23
Oja,1,23,-104.55344649191927,0.0,10455.344649191928,24
Oja,1,24,-104.39824789888058,0.0,10439.824789888058,25
